date,industry,name,opportunities,salary,qualification,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,.Net Developer,"2,161",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. ",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Acquisition Consultant,6,N/A,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Agile Business Analyst,"1,499",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Analyst Developer,186,$120K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Analyst Programmer,"1,099",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315).",,,,,,
2/04/2023 22:52,Consulting & Strategy careers,Analytics Consultant,33,$128K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Analytics Manager,217,$135K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Analytics Specialist,29,$120K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Android Developer,498,$130K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. ",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Angular Developer,232,$125K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Application Architect,286,$165K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Application Consultant,31,$95K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Application Specialist,167,$110K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Applications Analyst,134,$110K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Applications Developer,310,$110K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Applications Manager,174,$140K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Applications Officer,74,$70K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Applications Support Analyst,"2,999",$90K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Architecture Manager,62,N/A,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Asset Analyst,18,$95K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Automation Analyst,63,$100K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Automation Consultant,11,$105K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Automation Engineer,601,$120K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Automation Manager,35,$140K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Automation Specialist,22,$115K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Backend Developer,406,$120K,Complete a qualification in Computer Science with a focus on Software Development.,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Benefits Specialist,4,$90K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Business Analyst,"6,945",$115K,"Complete a bachelor degree in business, business analytics, information technology or a related field. This usually takes three years of full-time study.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Business Consultant,155,$110K,A Bachelor of Business may be an advantage when looking to become a Business Consultant.,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Business Intelligence Analyst,722,$110K,"Complete a bachelor degree majoring in computer science, data science, business or a related field. This is usually a three-year course of full-time study.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Business Intelligence Consultant,149,$115K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Business Intelligence Software Developer,179,$120K,Complete a Bachelor of Information Technology or Bachelor of Computer Science.  ,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Business Process Analyst,"2,082",$105K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Business Systems Analyst,"2,042",$108K,"Complete a degree in information technology, information systems or business information systems such as a Bachelor of Business Information Systems.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,C# Developer,"7,532",N/A,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Campaign Analyst,76,$105K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Capability Manager,68,$155K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Capability Specialist,60,$118K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Capacity Manager,21,N/A,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Change Analyst,694,$115K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Change Manager,"1,662",$140K,"Complete a bachelor degree in business, business administration, commerce, change management or a related field.",,,,,,
2/04/2023 22:52,Consulting & Strategy careers,Change and Communications Manager,"1,387",$135K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Change and Release Manager,801,$120K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Chief Information Officer,262,$190K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Chief Technology Officer,150,$240K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics.",,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Cloud Architect,852,$170K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Cloud Consultant,51,$155K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Cloud Developer,68,$130K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Cloud Engineer,"1,264",$135K,no data,,,,,,
2/04/2023 22:52,Information & Communication Technology careers,Cloud Specialist,47,$140K,no data,,,,,,
2/04/2023 22:52,Trades & Services careers,Communications Technician,490,$95K,no data,,,,,,
