date,industry,name,opportunities,salary,qualification
4/04/2023 20:53,Information & Communication Technology careers,.Net Developer,"2,166",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. "
4/04/2023 20:53,Information & Communication Technology careers,Acquisition Consultant,6,N/A,no data
4/04/2023 20:53,Information & Communication Technology careers,Agile Business Analyst,"1,539",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.
4/04/2023 20:53,Information & Communication Technology careers,Analyst Developer,188,$120K,no data
4/04/2023 20:53,Information & Communication Technology careers,Analyst Programmer,"1,148",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315)."
4/04/2023 20:53,Consulting & Strategy careers,Analytics Consultant,29,$128K,no data
4/04/2023 20:53,Information & Communication Technology careers,Analytics Manager,213,$135K,no data
4/04/2023 20:53,Information & Communication Technology careers,Analytics Specialist,31,$120K,no data
4/04/2023 20:53,Information & Communication Technology careers,Android Developer,520,$130K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. "
4/04/2023 20:53,Information & Communication Technology careers,Angular Developer,234,$125K,no data
4/04/2023 20:53,Information & Communication Technology careers,Application Architect,291,$165K,no data
4/04/2023 20:53,Information & Communication Technology careers,Application Consultant,31,$95K,no data
4/04/2023 20:53,Information & Communication Technology careers,Application Specialist,162,$110K,no data
4/04/2023 20:53,Information & Communication Technology careers,Applications Analyst,140,$110K,no data
4/04/2023 20:53,Information & Communication Technology careers,Applications Developer,322,$110K,no data
4/04/2023 20:53,Information & Communication Technology careers,Applications Manager,198,$140K,no data
4/04/2023 20:53,Information & Communication Technology careers,Applications Officer,74,$70K,no data
4/04/2023 20:53,Information & Communication Technology careers,Applications Support Analyst,"3,062",$90K,no data
4/04/2023 20:53,Information & Communication Technology careers,Architecture Manager,64,N/A,no data
4/04/2023 20:53,Information & Communication Technology careers,Asset Analyst,12,$95K,no data
4/04/2023 20:53,Information & Communication Technology careers,Automation Analyst,71,$100K,no data
4/04/2023 20:53,Information & Communication Technology careers,Automation Consultant,12,$105K,no data
4/04/2023 20:53,Information & Communication Technology careers,Automation Engineer,638,$120K,no data
4/04/2023 20:53,Information & Communication Technology careers,Automation Manager,37,$140K,no data
4/04/2023 20:53,Information & Communication Technology careers,Automation Specialist,23,$115K,no data
4/04/2023 20:53,Information & Communication Technology careers,Backend Developer,405,$120K,Complete a qualification in Computer Science with a focus on Software Development.
4/04/2023 20:53,Information & Communication Technology careers,Benefits Specialist,8,$90K,no data
4/04/2023 20:53,Information & Communication Technology careers,Business Analyst,"7,124",$115K,"Complete a bachelor degree in business, business analytics, information technology or a related field. This usually takes three years of full-time study."
4/04/2023 20:53,Information & Communication Technology careers,Business Consultant,159,$110K,A Bachelor of Business may be an advantage when looking to become a Business Consultant.
4/04/2023 20:53,Information & Communication Technology careers,Business Intelligence Analyst,747,$110K,"Complete a bachelor degree majoring in computer science, data science, business or a related field. This is usually a three-year course of full-time study."
4/04/2023 20:53,Information & Communication Technology careers,Business Intelligence Consultant,152,$115K,no data
4/04/2023 20:53,Information & Communication Technology careers,Business Intelligence Software Developer,186,$120K,Complete a Bachelor of Information Technology or Bachelor of Computer Science.  
4/04/2023 20:53,Information & Communication Technology careers,Business Process Analyst,"2,147",$105K,no data
4/04/2023 20:53,Information & Communication Technology careers,Business Systems Analyst,"2,090",$108K,"Complete a degree in information technology, information systems or business information systems such as a Bachelor of Business Information Systems."
4/04/2023 20:53,Information & Communication Technology careers,C# Developer,"7,689",N/A,no data
4/04/2023 20:53,Information & Communication Technology careers,Campaign Analyst,71,$105K,no data
4/04/2023 20:53,Information & Communication Technology careers,Capability Manager,58,$155K,no data
4/04/2023 20:53,Information & Communication Technology careers,Capability Specialist,62,$118K,no data
4/04/2023 20:53,Information & Communication Technology careers,Capacity Manager,21,N/A,no data
4/04/2023 20:53,Information & Communication Technology careers,Change Analyst,747,$115K,no data
4/04/2023 20:53,Information & Communication Technology careers,Change Manager,"1,741",$140K,"Complete a bachelor degree in business, business administration, commerce, change management or a related field."
4/04/2023 20:53,Consulting & Strategy careers,Change and Communications Manager,"1,475",$135K,no data
4/04/2023 20:53,Information & Communication Technology careers,Change and Release Manager,827,$120K,no data
4/04/2023 20:53,Information & Communication Technology careers,Chief Information Officer,276,$190K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics."
4/04/2023 20:53,Information & Communication Technology careers,Chief Technology Officer,165,$240K,"Complete a degree in computer science, software engineering or a related field. These are usually three-year course of full-time study, with prerequisites including completion of Australian Year 12 (or equivalent) and required units or assumed knowledge in English and mathematics."
4/04/2023 20:53,Information & Communication Technology careers,Cloud Architect,880,$170K,no data
4/04/2023 20:53,Information & Communication Technology careers,Cloud Consultant,53,$155K,no data
4/04/2023 20:53,Information & Communication Technology careers,Cloud Developer,60,$130K,no data
4/04/2023 20:53,Information & Communication Technology careers,Cloud Engineer,"1,294",$135K,no data
4/04/2023 20:53,Information & Communication Technology careers,Cloud Specialist,49,$140K,no data
4/04/2023 20:53,Trades & Services careers,Communications Technician,508,$95K,no data
4/04/2023 20:53,Information & Communication Technology careers,Computer Engineer,619,N/A,"Complete a qualification in computer engineering. This could be a 
Certificate IV in Information Technology (ICT40120), a 
Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in computer engineering."
4/04/2023 20:53,Information & Communication Technology careers,Computer Technician,579,$60K,"Complete a bachelor degree in information technology, computer science or a related field.  "
4/04/2023 20:53,Information & Communication Technology careers,Configuration Specialist,21,$110K,no data
4/04/2023 20:53,Marketing & Communications careers,Content Administrator,4,$60K,no data
4/04/2023 20:53,Information & Communication Technology careers,Content Developer,27,$83K,no data
4/04/2023 20:53,Information & Communication Technology careers,Customer Relationship Management Developer,111,$115K,no data
4/04/2023 20:53,Information & Communication Technology careers,Cyber Security Analyst,557,$95K,"Complete a bachelor degree in computer science, cyber security, information technology or a related field."
4/04/2023 20:53,Information & Communication Technology careers,Data Analyst,"5,347",$100K,"Complete a bachelor degree in a relevant discipline, such as computer science, information technology, mathematics, statistics or business analytics. "
4/04/2023 20:53,Information & Communication Technology careers,Data Architect,942,$175K,Complete a Bachelor of Science (Data Science) or a Bachelor of Computer Science. This is a three-year course of full-time study. 
4/04/2023 20:53,Information & Communication Technology careers,Data Consultant,68,$115K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Developer,112,$110K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Engineer,"1,509",$130K,Complete a bachelor degree in computer science. This is typically a three–year course of full–time study.
4/04/2023 20:53,Information & Communication Technology careers,Data Manager,815,$125K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Officer,127,$80K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Specialist,242,$100K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Warehouse Developer,93,$135K,no data
4/04/2023 20:53,Information & Communication Technology careers,Data Warehouse Specialist,67,N/A,no data
4/04/2023 20:53,Information & Communication Technology careers,Database Administrator,359,$110K,"Complete a qualification in Information Technology. This could be a Certificate IV in Information Technology (ICT40120), a Diploma of Information Technology (ICT50220), or a bachelor degree majoring in Information Technology."
4/04/2023 20:53,Information & Communication Technology careers,Database Developer,272,$120K,"Complete a qualification in computer science with a focus on software development. This could be a certificate, diploma or a bachelor degree."
4/04/2023 20:53,Information & Communication Technology careers,Delivery Consultant,83,$80K,no data
4/04/2023 20:53,Information & Communication Technology careers,Delivery Director,68,$315K,no data
4/04/2023 20:53,Information & Communication Technology careers,Delivery Engineer,928,$105K,no data
4/04/2023 20:53,Information & Communication Technology careers,Delivery Lead,"2,670",$145K,no data
4/04/2023 20:53,Information & Communication Technology careers,Delivery Manager,"2,714",$140K,"Complete a bachelor degree in business, commerce, IT or a related field. This usually takes three years of full-time study."
4/04/2023 20:53,Information & Communication Technology careers,Deployment Engineer,69,$120K,no data
4/04/2023 20:53,Information & Communication Technology careers,Design Specialist,87,$100K,no data
4/04/2023 20:53,Information & Communication Technology careers,Design Team Leader,597,$105K,no data
4/04/2023 20:53,Information & Communication Technology careers,Desktop Support Specialist,521,$75K,no data
4/04/2023 20:53,Information & Communication Technology careers,DevOps Engineer,"2,140",$135K,Complete a Bachelor of Computer Science or a related degree that focuses on software development. 
4/04/2023 20:53,Information & Communication Technology careers,Developer,"9,525",$115K,Complete a qualification in computer science with a focus on software development.
4/04/2023 20:53,Sales careers,Development Specialist,134,$100K,no data
4/04/2023 20:53,Information & Communication Technology careers,Development Team Leader,"2,797",$110K,no data
4/04/2023 20:53,Information & Communication Technology careers,Digital Business Analyst,"1,176",$130K,"Complete a bachelor degree in IT, business, marketing or a related field. Aim to secure an internship while studying to gain industry experience.  "
4/04/2023 20:53,Information & Communication Technology careers,Digital Project Manager,"2,298",$105K,Consider training in the Agile project management methodology to become a Scrum Master. Agile is the project management methodology of choice in the digital industry.
4/04/2023 20:54,Information & Communication Technology careers,Domain Architect,400,$173K,no data
4/04/2023 20:54,Information & Communication Technology careers,Drupal Developer,8,$133K,no data
4/04/2023 20:54,Information & Communication Technology careers,Engagement Manager,-,$110K,no data
