date,industry,name,opportunities,salary,qualification,
8/04/2023 16:39,Information & Communication Technology careers,.Net Developer,"2,077",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. ",
8/04/2023 16:39,Information & Communication Technology careers,Acquisition Consultant,7,N/A,no data,
8/04/2023 16:39,Information & Communication Technology careers,Agile Business Analyst,"1,487",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.,
8/04/2023 16:39,Information & Communication Technology careers,Analyst Developer,175,$115K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Analyst Programmer,"1,132",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315).",
8/04/2023 16:39,Consulting & Strategy careers,Analytics Consultant,31,$128K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Analytics Manager,205,$140K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Analytics Specialist,26,$120K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Android Developer,-,$128K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. ",
8/04/2023 16:39,Information & Communication Technology careers,Angular Developer,221,$123K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Application Architect,265,$170K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Application Consultant,32,$100K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Application Specialist,161,$110K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Applications Analyst,118,$110K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Applications Developer,336,$98K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Applications Manager,181,$140K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Applications Officer,64,$70K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Applications Support Analyst,"2,930",$90K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Architecture Manager,62,N/A,no data,
8/04/2023 16:39,Information & Communication Technology careers,Asset Analyst,17,$100K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Automation Analyst,61,$100K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Automation Consultant,13,$105K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Automation Engineer,-,$120K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Automation Manager,30,$140K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Automation Specialist,23,$110K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Backend Developer,396,$120K,Complete a qualification in Computer Science with a focus on Software Development.,
8/04/2023 16:39,Information & Communication Technology careers,Benefits Specialist,7,$90K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Business Analyst,"6,865",$120K,"Complete a bachelor degree in business, business analytics, information technology or a related field. This usually takes three years of full-time study.",
8/04/2023 16:39,Information & Communication Technology careers,Business Consultant,165,$110K,A Bachelor of Business may be an advantage when looking to become a Business Consultant.,
8/04/2023 16:39,Information & Communication Technology careers,Business Intelligence Analyst,710,$110K,"Complete a bachelor degree majoring in computer science, data science, business or a related field. This is usually a three-year course of full-time study.",
8/04/2023 16:39,Information & Communication Technology careers,Business Intelligence Consultant,149,$125K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Business Intelligence Software Developer,182,$125K,Complete a Bachelor of Information Technology or Bachelor of Computer Science.  ,
8/04/2023 16:39,Information & Communication Technology careers,Business Process Analyst,"2,045",$120K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Business Systems Analyst,"1,975",$105K,"Complete a degree in information technology, information systems or business information systems such as a Bachelor of Business Information Systems.",
8/04/2023 16:39,Information & Communication Technology careers,C# Developer,"7,524",N/A,no data,
8/04/2023 16:39,Information & Communication Technology careers,Campaign Analyst,75,$110K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Capability Manager,53,$155K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Capability Specialist,58,$120K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Capacity Manager,19,N/A,no data,
8/04/2023 16:39,Information & Communication Technology careers,Change Analyst,696,$115K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Change Manager,"1,673",$130K,"Complete a bachelor degree in business, business administration, commerce, change management or a related field.",
8/04/2023 16:39,Consulting & Strategy careers,Change and Communications Manager,"1,445",$135K,no data,
8/04/2023 16:39,Information & Communication Technology careers,Change and Release Manager,798,$120K,no data,
