industry,name,qualification,IT-04-03,IT-04-04,IT-04-05,IT-04-06,IT-04-07,IT-04-08,IT-04-09,IT-04-10,IT-04-11,degree1,degree2,degree3,degree4,degree5
Information & Communication Technology careers,.Net Developer,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. ","2,160","2,166","2,193","2,226","2,145","2,077","2,016","1,966","2,004",Bachelor of Computer Science,Bachelor of Information Technology,Bachelor of Information and Communication Technology,Bachelor of Computer Science (with specialisation),Bachelor of Information Technology (with specialisations)
Information & Communication Technology careers,Acquisition Consultant,no data,6,6,7,6,7,7,7,6,6,Bachelor of Business With a Major in Business Administration,Bachelor of Business Administration,Bachelor of Economics,Bachelor of Business (International Business),Bachelor of Business - International Business
Information & Communication Technology careers,Agile Business Analyst,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.,"1,504","1,539","1,540","1,562","1,532","1,487","1,434","1,408","1,432",Bachelor of Computer Science,Bachelor of Information Technology,Bachelor of Information and Communication Technology,Bachelor of Computer Science (with specialisation),Bachelor of Information Technology (with specialisations)
Information & Communication Technology careers,Analyst Developer,no data,185,188,192,190,181,175,169,164,168,Bachelor of Computer Science,Bachelor of Information Technology,Bachelor of Information and Communication Technology,Bachelor of Computer Science (with specialisation),Bachelor of Information Technology (Big Data and Analytics)
Information & Communication Technology careers,Analyst Programmer,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315).","1,116","1,148","1,180","1,202","1,168","1,132","1,099","1,069","1,094",Bachelor of Computer Science,Bachelor of Information Technology,Bachelor of Information and Communication Technology,Bachelor of Computer Science (with specialisation),Bachelor of Information Technology (with specialisations)
Consulting & Strategy careers,Analytics Consultant,no data,30,29,29,31,31,31,31,29,22,Bachelor of Computer Science,Bachelor of Actuarial Studies,Bachelor of Actuarial Science,Bachelor of Computer Science (with specialisation),Bachelor of Information Technology (Big Data and Analytics)
Information & Communication Technology careers,Analytics Manager,no data,210,213,217,217,210,205,197,186,191,,,,,
Information & Communication Technology careers,Analytics Specialist,no data,31,31,31,30,26,26,26,26,27,Bachelor of Science (Computer Science),Bachelor of Economics,Bachelor of Information Technology (Software Development),Bachelor of Business Analytics,Bachelor of Engineering (Honours) - Telecommunications Engineering and Internet of Things
Information & Communication Technology careers,Android Developer,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. ",499,520,543,546,536,-,499,484,491,Bachelor of Computer Science,Bachelor of Information and Communication Technology,Bachelor of Computer Science (with specialisation),Bachelor of Software Engineering (Honours),Associate Degree in Information Technology
Information & Communication Technology careers,Angular Developer,no data,232,234,235,237,231,221,210,206,211,Bachelor of Computer Science,Bachelor of Information Technology,Bachelor of Information and Communication Technology,Bachelor of Computer Science (with specialisation),Associate Degree in Information Technology
Information & Communication Technology careers,Application Architect,no data,286,291,284,281,273,265,261,253,250,Bachelor of Computer Science,Bachelor of Information and Communication Technology,Bachelor of Computer Science (with specialisation),Associate Degree in Information Technology,Associate Degree of Information Technology
Information & Communication Technology careers,Application Consultant,no data,31,31,31,35,33,32,32,30,32,Bachelor of Information and Communication Technology,Bachelor of Computer Science,Bachelor of Commerce,Bachelor of Information and Communications Technology (ICT),Bachelor of Information and Communications Technology
Information & Communication Technology careers,Application Specialist,no data,159,162,165,175,164,161,158,156,155,Bachelor of Information and Communication Technology,Bachelor of Information Technology,Bachelor of Computer Science,Bachelor of Information and Communications Technology (ICT),Bachelor of Information and Communications Technology
Information & Communication Technology careers,Applications Analyst,no data,136,140,144,124,122,118,112,109,112,Bachelor of Information Technology,Bachelor of Computer Science,Bachelor of Information and Communication Technology,Bachelor of Information Technology (with specialisations),Bachelor of Computer Science (with specialisation)
Information & Communication Technology careers,Applications Developer,no data,303,322,343,345,345,336,331,317,319,Bachelor of Computer Science,Bachelor of Information Technology,Bachelor of Computer Science (with specialisation),Bachelor of Information Technology (with specialisations),Bachelor of Information Technology (Software Development)
Information & Communication Technology careers,Applications Manager,no data,186,198,197,194,185,181,174,168,165,Bachelor of Information Technology,Bachelor of Information and Communication Technology,Bachelor of Business With a Major in Management,Bachelor of Applied Business (Management),Bachelor of Commerce
Information & Communication Technology careers,Applications Officer,no data,74,74,69,69,66,64,62,61,59,Certificate III in Information Technology,Certificate III in Information Technology (Focus on Web Development),Certificate III in Information Technology (Focus on Programming),Certificate III in Information Technology (Focus on Basic Cloud Computing),Certificate III in Information Technology (Focus on Basic Cyber Security Awareness)
